word|punctuation_before|pause_before|f0_mean|f0_range|f0_birange|f0_sd|i0_mean|i0_range|i0_birange|i0_sd|speech_rate_norm
a||16.07|-13.9549|0.278|14.0903|0.0972|8.0252|13.3206|13.7795|5.8666|2.9494
public||0.0|-9.2606|8.2317|8.2317|1.8338|1.2663|25.7881|25.7881|8.4456|-1.0009
dewey|,|0.65|-2.9398|6.2523|13.6126|1.7506|10.8402|10.3069|25.7881|3.1174|0.1052
long||0.0|-3.768|4.2644|6.2523|1.2367|11.228|7.6222|10.8878|1.8989|-0.9544
ago||0.0|-7.035|4.4297|7.2227|1.1355|11.1631|5.3206|7.6222|1.3712|-0.697
observed||0.0|-8.7365|6.1639|7.9499|1.6538|3.2914|23.6293|24.1475|6.9289|-0.8102
is|,|0.0|0.0|0.0|12.526|0.0|0.0|0.0|23.6293|0.0|0.0
constituted||0.0|-6.6268|10.375|11.4641|2.4368|4.3773|24.3697|24.3697|6.5744|0.0
through||0.0|-8.5202|2.4352|10.375|0.7485|0.7478|23.5926|25.3807|8.3581|-0.0133
discussion||0.0|-11.368|4.9203|6.5882|0.9034|4.1166|24.2841|25.372|6.4217|-0.3688
and||0.0|-14.3348|2.8922|7.5201|0.7498|9.3669|11.9868|24.2841|3.4611|-0.1179
debate||0.0|-16.2231|6.8598|6.8598|2.0696|-1.27|26.2359|26.7371|8.5408|-0.7752
if|.|2.05|0.0|0.0|20.2372|0.0|-3.7328|22.1741|27.2492|7.2541|-0.294
we||0.0|13.6438|3.1624|16.2085|0.7398|9.8804|21.1572|23.8275|7.0817|-0.1179
are||0.0|12.3301|3.7913|6.6172|1.1734|8.557|18.3425|21.1572|6.0617|0.2406
to||0.0|10.9122|5.3627|5.7136|1.6396|1.398|18.7545|19.343|6.3294|-0.2108
call||0.0|10.1857|6.1661|7.4982|1.4275|6.4613|21.263|21.263|6.7995|-0.9021
the||0.0|10.6671|0.7913|6.1661|0.2624|7.2143|2.5258|21.263|0.9697|1.3693
tyranny||0.43|-2.0986|10.1253|17.3244|2.7769|8.0163|27.8832|27.8832|8.1667|-0.0133
