word|punctuation_before|pos|pause_before|f0_mean|f0_range|f0_birange|f0_sd|i0_mean|i0_range|i0_birange|i0_sd|speech_rate_norm
about|.|IN|1.01|11.1068|3.4493|25.1133|1.0732|2.6481|20.3816|27.2131|7.3735|-0.6699
four||CD|0.0|6.8099|7.5856|7.8198|2.4235|1.865|19.5445|23.5997|6.9842|-0.7562
years||NNS|0.0|3.5246|3.1475|10.4077|0.8818|2.557|14.3391|19.5445|3.8722|-0.8563
ago||RB|0.0|-0.1475|6.4983|6.9016|2.0842|4.1288|20.9207|20.9207|5.8964|-0.4182
i||VBP|0.0|-2.0065|1.1514|6.6901|0.3856|8.8237|7.8434|20.9207|2.6423|2.1169
took||VBD|0.0|0.6315|5.4516|5.4882|2.0356|-1.7086|18.7908|23.6463|4.8593|-0.6998
a||DT|0.0|1.0403|4.519|5.4576|1.3516|3.5403|6.3501|18.7908|2.3727|3.5253
team||NN|0.0|1.3033|4.7383|5.1141|1.0769|0.9374|21.2757|21.2757|8.0622|-0.8082
of||IN|0.0|0.1621|0.9936|4.7383|0.3066|4.4115|9.9641|21.2757|3.1678|1.2719
students||NNS|0.0|1.6775|5.3441|5.3441|1.0909|-0.001|21.4068|21.4068|7.0409|-0.5718
down||IN|0.0|-0.1997|2.7852|5.3441|0.9107|3.0969|23.0311|24.1139|7.5821|-0.6998
to||TO|0.0|-0.7104|1.373|2.9018|0.4932|0.6243|10.1456|23.0311|3.9865|2.1169
haiti||VB|0.0|0.155|6.1002|6.1002|1.7866|4.43|9.5788|12.4261|3.1912|-0.0597
and|,|CC|0.0|-3.7385|1.5263|7.2836|0.5899|4.4432|3.0322|9.5788|0.9125|1.2719
we||PRP|0.0|-2.8712|1.4556|2.509|0.5036|5.2301|3.6564|3.6564|0.8667|0.4919
worked||VBD|0.0|-3.8357|3.0994|3.7605|0.8386|-1.9596|21.0817|21.0817|6.8825|-0.6998
with||IN|0.0|-2.9577|1.6176|3.3131|0.4848|-5.2772|21.4651|24.6585|7.6456|0.4919
peace||NN|0.0|0.4119|4.0061|5.8054|1.1804|-2.1099|31.3464|31.3464|9.9384|-0.8563
corps||NN|0.0|0.5155|5.5754|5.5754|1.6921|2.2066|16.8849|31.3464|6.7087|-0.1199
volunteers||NNS|0.0|-4.4464|3.4704|8.6078|0.8434|-0.2294|26.049|26.8163|6.4819|-0.617
there||RB|0.0|-6.6467|4.6416|6.5056|1.4738|-0.3322|26.1674|28.6998|8.1302|-0.6998
this|.|DT|0.49|2.7432|2.0046|12.5377|0.6627|0.163|10.1739|26.1674|3.5411|0.7085
is||VBZ|0.0|2.3831|3.4035|3.4035|1.3846|4.3855|7.1598|12.0598|2.4973|0.3062
one||CD|0.0|1.6852|2.2751|4.0092|0.6765|7.6513|10.9147|10.9147|2.6807|-0.7562
such||JJ|0.0|1.8039|3.14|3.14|0.7296|0.3145|19.4098|20.3519|5.9497|-0.7562
volunteer||NN|0.0|2.0558|6.9021|6.9021|1.7899|3.2343|20.3015|20.8172|5.794|-0.4459
and|,|CC|0.0|2.5455|2.9027|6.9021|0.8918|6.2919|3.5714|20.3015|1.0197|0.3062
this||DT|0.0|3.1415|4.5319|4.5319|1.1377|-3.3536|18.8567|21.614|7.2088|-0.1199
is||VBZ|0.0|2.5487|5.2614|5.2614|1.5075|-2.2156|18.9554|18.9623|6.1744|0.1452
a||DT|0.0|1.5878|1.686|5.2614|0.4924|5.9862|4.0154|21.3766|1.298|1.2719
device||NN|0.47|0.1138|6.9083|6.9083|2.0864|2.2572|18.0769|18.0769|5.5707|-0.5361
that||IN|0.0|0.2894|3.896|6.9083|1.3369|-0.4011|13.9268|19.8681|5.1271|0.4919
he||PRP|0.0|-0.1858|3.5356|3.896|1.5762|1.3171|17.9507|17.9507|6.9095|0.3062
had||VBD|0.0|-1.2591|6.3916|6.5195|2.0812|3.0695|12.9285|17.9507|2.9108|-0.1199
built||VBN|0.0|-1.0311|3.4764|6.3916|0.72|1.0732|21.3562|21.3562|7.6028|-0.9011
in||IN|0.0|-1.4874|1.7303|3.4764|0.5814|4.5255|2.6133|21.3562|0.6297|0.7085
the||DT|0.0|-2.1245|0.8042|2.0345|0.1921|3.5396|9.9709|9.9709|2.9103|0.7085
village||NN|0.0|-0.449|7.1081|7.1081|2.4519|2.914|11.7244|11.7244|3.7468|-0.0597
where||WRB|0.0|-4.0858|1.2801|7.1081|0.3416|3.9489|9.1113|12.5901|3.0454|0.0043
he||PRP|0.0|-4.3722|3.0805|3.1057|0.9777|2.4802|6.5201|9.4983|1.9483|0.1452
worked||VBD|0.0|-6.5683|4.0937|5.8407|1.1078|-1.7779|19.027|19.027|6.4565|-1.0519
<END>|.|<END>|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
