niteid wstart wend conv participant nxt_agent mean.normI0 sd.normI0 max.normI0 min.normI0 median.normI0 q1.normI0 q2.5.normI0 q5.normI0 q25.normI0 q75.normI0 q95.normI0 q97.5.normI0 q99.normI0 slope.normI0 intercept.normI0 mean.normI0.slope sd.normI0.slope max.normI0.slope min.normI0.slope median.normI0.slope q1.normI0.slope q2.5.normI0.slope q5.normI0.slope q25.normI0.slope q75.normI0.slope q95.normI0.slope q97.5.normI0.slope q99.normI0.slope slope.normI0.slope intercept.normI0.slope
AmySmith_2006.AS.words5 17.19 17.29 AmySmith_2006 AS AS -7.67357533202449 4.93113150379659 0.362758655504443 -13.2394715135516 -10.1498751540502 -13.1259301608767 -12.9556181318643 -12.671764750177 -10.7558651310646 -3.24021093646972 0.0749023382818521 0.218830496893148 0.305187392059925 -193.002445052432 3321.20502515446 -1.54317310607873 4.9271469549458 6.48728526088 -7.1031936670356 -4.01766504485206 -6.98978790560463 -6.81967926345816 -6.53616485988072 -4.62410699267954 2.88680150837784 6.19875098743777 6.34301812415888 6.42957840619155 -192.820526800162 3324.19772735358
AmySmith_2006.AS.words6 17.29 17.52 AmySmith_2006 AS AS -4.00615807743224 7.67551680711401 6.795816940489 -15.6223275090688 -4.2542826399853 -15.6176455733698 -15.5853602144285 -15.4322668795351 -11.5681011449406 2.57632414949668 6.52126236998742 6.57766460913854 6.69969279243028 -75.2721975782098 1306.05968785356 2.15271830973832 7.66724122825728 12.9465578530239 -9.44266046449597 1.88741885628776 -9.43922596824116 -9.40826940349034 -9.25413653572679 -5.39702154581652 8.73203674097561 12.6699242167821 12.7273659888033 12.8500178918171 -75.0902793259401 1309.05239005268
AmySmith_2006.AS.words7 17.52 17.68 AmySmith_2006 AS AS -10.4294624386174 6.86896641581959 -0.382528183996129 -18.1693408113024 -14.0485241776814 -18.0266755090938 -17.8126775557808 -17.5703738615408 -15.4198640116364 -1.11220220532042 -0.525796160986901 -0.467058536194904 -0.416340324875639 132.825601149497 -2348.24666806182 -4.23488035721251 6.87661063765437 5.82154528448366 -11.986961941851 -7.85574997952894 -11.8445768615465 -11.6309992410897 -11.3879045979269 -9.22482995941844 5.09322717559865 5.67818691333027 5.73771548704518 5.78801336550827 133.007519401767 -2345.2539658627
AmySmith_2006.AS.words8 18.04 18.2 AmySmith_2006 AS AS -6.41652251996715 6.88052115481056 1.74230268111271 -17.2867107990674 -3.49768691113965 -17.2245262178478 -17.1312493460184 -16.9617834228149 -13.2531197109037 -1.07768415402851 1.62974285190532 1.72558220433864 1.73561449040308 123.084036341876 -2236.68779357796 -0.127478538626007 6.88803531152493 8.03586637058477 -11.0067062339881 2.79135707020149 -10.9442323914481 -10.8505216276381 -10.6819596460609 -6.97763485395532 5.22130318520066 7.92656073123165 8.02131535371355 8.03004596383628 123.265954594146 -2233.69509137884
AmySmith_2006.AS.words9 18.2 18.34 AmySmith_2006 AS AS -2.87439923976091 3.35424244732777 0.0192928273733699 -11.2877390184239 -1.35240627460817 -10.7054188273233 -9.83193854067252 -9.00044066035365 -3.7583347697397 -0.676327274341617 -0.0854005585584189 -0.0027304976327857 0.0104834973709077 -65.4909168363501 1193.74024369238 3.44221496117886 3.34831119439018 6.33274323262149 -4.95892160553063 4.95923624738758 -4.37684547866915 -3.50373128837694 -2.67347632779408 2.56438103717681 5.6312475103363 6.22832102917756 6.31133006821301 6.3241779668581 -65.3089985840805 1196.7329458915
AmySmith_2006.AS.words10 18.34 18.42 AmySmith_2006 AS AS -6.44569632880219 4.23137879292719 -0.411183544640146 -13.0188714386033 -6.37093656523327 -12.8646912420079 -12.6334209471148 -12.2479704556264 -9.5807760093994 -2.8591433276968 -0.890196135289441 -0.650689839964794 -0.506986062770005 74.4854179556825 -1375.54550864769 -0.109195412086365 4.23317278069145 5.92576934288877 -6.68734220083146 -0.0299159403865201 -6.53329759548 -6.30223068745283 -5.91711917407419 -3.24020735536575 3.47690561820594 5.44743470845911 5.68660202567394 5.83010241600284 74.6673362079521 -1372.55280644857
AmySmith_2006.AS.words11 18.42 18.69 AmySmith_2006 AS AS -6.47740080453745 7.28628696882846 2.54383654605093 -18.2220699753243 -5.19950993413709 -18.1538714603012 -17.8020690717506 -17.0703609987437 -15.0849013432519 0.592235228400526 2.12733530628968 2.40907732893642 2.5370810463198 70.4587019056411 -1313.81673307927 -0.109261930905167 7.29704289785626 8.9241786316367 -11.8724619050288 1.17540850169158 -11.8047424790675 -11.4527773810242 -10.7216116729931 -8.72964363779271 6.96557176638337 8.50772258895677 8.79061713717689 8.91790222096746 70.6406201579107 -1310.82403088014
AmySmith_2006.AS.words12 18.69 18.78 AmySmith_2006 AS AS -5.42993562437027 4.15320237741932 -0.357125189156299 -13.2525916322038 -6.01810612765244 -12.967674270426 -12.5402982277593 -11.8280048233148 -8.16990908337763 -1.53808588080085 -0.539414408253053 -0.448269798704676 -0.393583032975651 -150.80436823076 2819.67446836717 0.970745147804661 4.14855442964828 6.03767996244843 -6.84422735620631 0.382574644522487 -6.55946366450496 -6.13231812695293 -5.42040889769956 -1.76538655929141 4.8583011686497 5.85615909373393 5.94691952809118 6.00137578870553 -150.622449978491 2822.66717056629
AmySmith_2006.AS.words13 18.78 18.91 AmySmith_2006 AS AS -4.52632506671926 5.39146923926582 1.17028153764551 -15.2396758667774 -3.31590850066532 -15.1678934097211 -15.0602197241367 -14.6969920545809 -6.34729307857193 0.057896622381616 0.952680200021291 1.04125761668095 1.11867196925969 83.7501678421866 -1582.8294492954 1.89469439204482 5.39586787399009 7.5903970547834 -8.8285997659013 3.1141503743606 -8.75705233366787 -8.64973118531772 -8.28709107781887 0.0732744093790534 6.4784641103326 7.37315729380966 7.46196069587587 7.53902251122039 83.9320860944562 -1579.83674709628
AmySmith_2006.AS.words14 18.91 18.98 AmySmith_2006 AS AS -3.10629199680687 0.78786400369227 -2.1029162930904 -4.88572716088655 -3.00314376332265 -4.78592228478814 -4.63621497064052 -4.3867027803945 -3.24218005727713 -2.57726634715887 -2.14798605409754 -2.12545117359397 -2.11193024529183 -6.48017629400052 119.675137728225 3.33325826529399 0.787226306167122 4.33075834844026 1.55246718877504 3.43776241121748 1.65215455246205 1.80168559799256 2.05090400721007 3.20053400051538 3.86431778360091 4.28627614949014 4.3085172489652 4.32186190865024 -6.29825804173085 122.667839927345
