sent.id	word.id	conv	alt.conv	id	spk	seg.id	pid	tid	starttime	endtime	nwords	word	utt.position	punc
AshrafGhani_2005G.AG.p.1.sent.1	AshrafGhani_2005G.AG.words1	AshrafGhani_2005G	0003	3	AG	AshrafGhani_2005G.AG.p.1.seg.1	p.1	t.1	16	19	6	A	1	None
AshrafGhani_2005G.AG.p.1.sent.1	AshrafGhani_2005G.AG.words2	AshrafGhani_2005G	0003	3	AG	AshrafGhani_2005G.AG.p.1.seg.1	p.1	t.1	16	19	6	public,	2	,
AshrafGhani_2005G.AG.p.1.sent.1	AshrafGhani_2005G.AG.words3	AshrafGhani_2005G	0003	3	AG	AshrafGhani_2005G.AG.p.1.seg.1	p.1	t.1	16	19	6	Dewey	3	None
AshrafGhani_2005G.AG.p.1.sent.1	AshrafGhani_2005G.AG.words4	AshrafGhani_2005G	0003	3	AG	AshrafGhani_2005G.AG.p.1.seg.1	p.1	t.1	16	19	6	long	4	None
AshrafGhani_2005G.AG.p.1.sent.1	AshrafGhani_2005G.AG.words5	AshrafGhani_2005G	0003	3	AG	AshrafGhani_2005G.AG.p.1.seg.1	p.1	t.1	16	19	6	ago	5	None
AshrafGhani_2005G.AG.p.1.sent.1	AshrafGhani_2005G.AG.words6	AshrafGhani_2005G	0003	3	AG	AshrafGhani_2005G.AG.p.1.seg.1	p.1	t.1	16	19	6	observed,	6	,
AshrafGhani_2005G.AG.p.1.sent.1	AshrafGhani_2005G.AG.words7	AshrafGhani_2005G	0003	3	AG	AshrafGhani_2005G.AG.p.1.seg.2	p.1	t.2	19	23	6	is	1	None
AshrafGhani_2005G.AG.p.1.sent.1	AshrafGhani_2005G.AG.words8	AshrafGhani_2005G	0003	3	AG	AshrafGhani_2005G.AG.p.1.seg.2	p.1	t.2	19	23	6	constituted	2	None
AshrafGhani_2005G.AG.p.1.sent.1	AshrafGhani_2005G.AG.words9	AshrafGhani_2005G	0003	3	AG	AshrafGhani_2005G.AG.p.1.seg.2	p.1	t.2	19	23	6	through	3	None
AshrafGhani_2005G.AG.p.1.sent.1	AshrafGhani_2005G.AG.words10	AshrafGhani_2005G	0003	3	AG	AshrafGhani_2005G.AG.p.1.seg.2	p.1	t.2	19	23	6	discussion	4	None
AshrafGhani_2005G.AG.p.1.sent.1	AshrafGhani_2005G.AG.words11	AshrafGhani_2005G	0003	3	AG	AshrafGhani_2005G.AG.p.1.seg.2	p.1	t.2	19	23	6	and	5	None
AshrafGhani_2005G.AG.p.1.sent.1	AshrafGhani_2005G.AG.words12	AshrafGhani_2005G	0003	3	AG	AshrafGhani_2005G.AG.p.1.seg.2	p.1	t.2	19	23	6	debate.	6	.
AshrafGhani_2005G.AG.p.1.sent.2	AshrafGhani_2005G.AG.words13	AshrafGhani_2005G	0003	3	AG	AshrafGhani_2005G.AG.p.1.seg.3	p.1	t.3	23	29	11	If	1	None
AshrafGhani_2005G.AG.p.1.sent.2	AshrafGhani_2005G.AG.words14	AshrafGhani_2005G	0003	3	AG	AshrafGhani_2005G.AG.p.1.seg.3	p.1	t.3	23	29	11	we	2	None
AshrafGhani_2005G.AG.p.1.sent.2	AshrafGhani_2005G.AG.words15	AshrafGhani_2005G	0003	3	AG	AshrafGhani_2005G.AG.p.1.seg.3	p.1	t.3	23	29	11	are	3	None
