niteid wstart wend conv participant nxt_agent mean.normF0 sd.normF0 max.normF0 min.normF0 median.normF0 q1.normF0 q2.5.normF0 q5.normF0 q25.normF0 q75.normF0 q95.normF0 q97.5.normF0 q99.normF0 slope.normF0 intercept.normF0 mean.normF0.slope sd.normF0.slope max.normF0.slope min.normF0.slope median.normF0.slope q1.normF0.slope q2.5.normF0.slope q5.normF0.slope q25.normF0.slope q75.normF0.slope q95.normF0.slope q97.5.normF0.slope q99.normF0.slope slope.normF0.slope intercept.normF0.slope
EvaVertes_2005.EV.words3 18.09 18.55 EvaVertes_2005 EV EV -3.98486363121277 1.11085807446394 -1.50183293243219 -5.66081192401342 -4.21535226462341 -5.65369169956613 -5.62873205982779 -5.43616978819622 -4.77476911425177 -3.388945528553 -1.63169051939119 -1.54747229155286 -1.51070585213302 -4.17526204481098 72.5281748384412 -0.773315524656797 1.0643236025726 1.62080549490779 -2.45349761170582 -0.902193096106289 -2.44984909854221 -2.4292502668797 -2.23943996150958 -1.53558309281812 -0.334927966027478 1.49729859932136 1.56691023700277 1.61540428649063 -3.39624390310886 61.463961470651
EvaVertes_2005.EV.words4 18.55 18.93 EvaVertes_2005 EV EV -2.61774667120104 0.577170446368858 -1.84573113167209 -4.00790013224507 -2.41910350268811 -3.84798509234867 -3.69296192634378 -3.62021298665648 -3.074977369807 -2.13358056128577 -1.93614811165578 -1.90826163840624 -1.88067134562096 -0.56267343445361 7.9273650920188 0.917686695356091 0.574304149136507 1.66641636651894 -0.618532667257092 1.08015245168532 -0.455696309329302 -0.29629116627734 -0.0925139069849173 0.454470521037399 1.39141776492219 1.60849179290029 1.62566678883706 1.64644962078673 0.216344707248502 -3.13684827577133
EvaVertes_2005.EV.words5 18.93 19.02 EvaVertes_2005 EV EV -4.14878083499282 0.292774577255592 -3.71039299446893 -4.79353415298381 -4.13661140800628 -4.74447357171582 -4.67088269981382 -4.54823124664383 -4.31942073313059 -3.93293593975808 -3.76341426467911 -3.73690362957402 -3.72099724851097 -10.3384950866001 192.021915934313 -0.431294315755309 0.27447965123263 -0.0246599320942775 -1.04429417688344 -0.410657300272004 -0.997961224205586 -0.928461795188803 -0.812629413494166 -0.58666820912008 -0.231326148951998 -0.0745058566181721 -0.0495828943562248 -0.0346291169990565 -9.55947694489801 180.957702566522
EvaVertes_2005.EV.words6 19.02 19.39 EvaVertes_2005 EV EV -4.27921491778789 0.512056573752971 -3.4437358991079 -5.08047379458551 -4.26440242385333 -5.05626762000967 -5.0321708250196 -5.00199229518032 -4.76975855697719 -3.80826734771619 -3.50292891956048 -3.47056608357866 -3.45031067655053 0.927847997122972 -22.0967203477576 -0.383909040118371 0.534701752875195 0.474855846927717 -1.2719606990078 -0.32711624509867 -1.25059116657838 -1.23074933480793 -1.20766241033468 -0.763681064050058 0.0958736998616556 0.40267517554623 0.44950749044389 0.465444427338671 1.7068661388251 -33.1609337155481
EvaVertes_2005.EV.words7 19.39 19.51 EvaVertes_2005 EV EV -4.46864657890654 0.186280228876797 -3.91808456930092 -4.66882580244858 -4.51566553552423 -4.66285701430644 -4.65390383209323 -4.63997884266228 -4.5749672349587 -4.45743633410742 -4.06731980920081 -3.99267280007377 -3.94791986161006 2.92558596390922 -61.3642976105055 -0.382819960059878 0.202813286597392 0.212196889153743 -0.563947109484202 -0.431165615581268 -0.558626580383082 -0.550645786731402 -0.538462740889616 -0.511630479830691 -0.379018855195417 0.0585161652930613 0.135385916400496 0.181472500052444 3.70460410561132 -72.4285109782953
EvaVertes_2005.EV.words8 19.51 19.54 EvaVertes_2005 EV EV -3.43140929708746 0.257376603152402 -3.08929448154586 -3.77716817824198 -3.42995175367467 -3.77017924645868 -3.75969584878373 -3.74222351932549 -3.6027247661668 -3.25881832221123 -3.12314587936229 -3.10622018045407 -3.09606476110914 25.3131126774868 -497.636917221525 0.713690441236539 0.265297177517131 1.0663897423991 0.357347074461067 0.715147984649327 0.364547695956784 0.37534862820036 0.393350181939653 0.537082729346726 0.891573658923247 1.03147989602057 1.04893481920984 1.05940777312339 26.0921308191892 -508.701130589321
EvaVertes_2005.EV.words9 19.54 20.09 EvaVertes_2005 EV EV -3.88635382751317 1.35125994692968 -0.365277414997446 -5.5047544940764 -4.20240330383784 -5.50094539812694 -5.47164505544342 -5.44222164266896 -5.01477795147059 -2.95493972894325 -1.29706482968975 -0.848226215143159 -0.678189069442266 -4.22987653362469 79.9263508403179 0.485253903099217 1.29390076635394 3.86661510541837 -1.09504261522858 0.11985247650823 -1.08699972503074 -1.03870976843408 -0.977081050161671 -0.599398267341434 1.46522323740032 2.91789251373254 3.38154940814846 3.54946965672516 -3.45085839192258 68.8621374725277
EvaVertes_2005.EV.words10 20.09 20.22 EvaVertes_2005 EV EV -1.98653036084234 1.32527505001445 -0.803560482440862 -5.42561041553686 -1.59321134609014 -5.31743477326313 -5.15517130985255 -4.94523779084084 -2.2177967285871 -1.09739495614041 -0.823433398196663 -0.807777594743589 -0.805247327361953 -11.2832625813086 225.417815432753 2.64968951029386 1.31578406368087 3.85594525706144 -0.740701910544269 3.02607334805254 -0.633500040947675 -0.472697236552783 -0.265198149233893 2.37714364862739 3.54411715780628 3.82591123510952 3.84442484968025 3.85133709410897 -10.5042444396064 214.353602064962
EvaVertes_2005.EV.words11 20.22 20.4 EvaVertes_2005 EV EV -4.82842578221673 0.278798964208141 -4.44035529052674 -5.30783821290881 -4.78755863940883 -5.30532826532341 -5.30156334394531 -5.26954856928501 -5.12348216455814 -4.61754964952068 -4.45973665515268 -4.45033682443611 -4.44434790409049 0.603965686723677 -17.0943780435767 -0.0715427750016647 0.286362722747738 0.312293922439942 -0.618695913667838 -0.0559831156519941 -0.598593254632597 -0.568439266079736 -0.518301176637948 -0.332166714329455 0.171002097446001 0.293759316663678 0.298925353131865 0.306946494716711 1.38298382842584 -28.1585914113678
EvaVertes_2005.EV.words12 20.4 20.74 EvaVertes_2005 EV EV -6.15503102146931 0.973162815464517 -3.76000580769709 -6.98947821417793 -6.74297987404166 -6.98425241795419 -6.95086323797098 -6.91202735489209 -6.85137239733131 -5.57485931126377 -4.2891372270623 -3.78085964247829 -3.76197556418141 -7.14250853584234 140.726775220011 -1.19915968458033 0.921467103138641 1.12812482121779 -1.97433375781162 -1.68126368094315 -1.9716482381369 -1.94439464079221 -1.91853335918971 -1.86015214246145 -0.729066624832707 0.603227196100963 1.10092029506402 1.12361478818444 -6.3634903941402 129.66256185222
EvaVertes_2005.EV.words13 21.27 21.63 EvaVertes_2005 EV EV -3.56565341868088 0.629924185266517 -2.34888180982922 -4.51171252521344 -3.5818460077878 -4.50348579231612 -4.49114569297013 -4.48625044201416 -4.08557780232397 -3.13001871065076 -2.52501535038512 -2.50575941694904 -2.41163285267715 -3.4647700359781 71.0000475000521 -0.396747449049047 0.591901184997513 0.757533442681276 -1.59660442825861 -0.351326547045347 -1.55614257580778 -1.49544979713154 -1.1565878243477 -0.849346077322019 -0.0349251659074463 0.623984610633526 0.633570186612316 0.707948140253692 -0.652687765517649 13.6498184735191
EvaVertes_2005.EV.words14 21.63 21.75 EvaVertes_2005 EV EV -4.30973228265245 0.142096567713652 -4.10071156045754 -4.52998822505629 -4.33420891503371 -4.5191562644369 -4.50290832350782 -4.47823240758717 -4.43407590489437 -4.16058594319556 -4.11225112661195 -4.10667830982681 -4.10309826020525 3.21584678883848 -74.0632357141085 -0.66433459497038 0.232425064209105 -0.320220165628226 -1.04862866981774 -0.742935410829768 -1.03451594654948 -1.01334686164709 -0.979130885664702 -0.812513747713592 -0.409735170371225 -0.334207549799063 -0.327394904961295 -0.323090061361454 6.02792905929895 -131.413464740642
EvaVertes_2005.EV.words15 21.75 22.16 EvaVertes_2005 EV EV -4.56455441343596 0.307591998858363 -3.86948086908927 -5.23611074842678 -4.55337369657653 -5.23595860259116 -5.16481428169741 -5.10538286471196 -4.70218223644845 -4.43995295195807 -4.04498426960267 -3.99448903225486 -3.89061915226555 -0.0681526795110103 -3.06830019737146 -0.17707945993795 0.446271840188221 0.734574787168958 -1.02027395335188 -0.105245404309583 -1.00917777010565 -0.948004587560139 -0.913330124845425 -0.596926648023449 0.113505182947705 0.543891677492809 0.639362147153521 0.696515416890224 2.7439295909494 -60.4185292239037
EvaVertes_2005.EV.words16 22.16 22.31 EvaVertes_2005 EV EV -4.56482812521305 0.547794692998155 -3.65088024695203 -5.42275229022208 -4.62794850412943 -5.40760284364128 -5.38487867377008 -5.35610697836748 -4.99864643194102 -4.08808656317977 -3.74573714421343 -3.70988996547477 -3.67448413436112 -9.31749828190903 202.583864233362 0.603780792301741 0.462125865243514 1.42399259488075 -0.144784617744931 0.599206717508279 -0.133697067777021 -0.117065742825156 -0.0984487889547784 0.264750274094753 0.939987261684897 1.32995448277318 1.36631340223298 1.40092091782165 -6.5054160114486 145.23363520683
EvaVertes_2005.EV.words17 22.31 22.39 EvaVertes_2005 EV EV -4.36660157308558 0.574645276541479 -3.3648515697489 -5.08727105950886 -4.56107994759557 -5.08197402679165 -5.07402847771584 -5.06078589592282 -4.77818432889121 -3.9753181467635 -3.43818009102514 -3.40151583038702 -3.37951727400415 -17.3246030685431 382.819027449887 1.13008360931627 0.524359245946503 2.10058825409227 0.487527519294661 1.01658379721445 0.490637376912621 0.495302163339562 0.503076807384463 0.75755755171147 1.43544229959649 2.0163238573198 2.05845605570603 2.08373537473777 -14.5125207980827 325.468798423356
EvaVertes_2005.EV.words18 22.39 22.46 EvaVertes_2005 EV EV -4.56233300317548 0.316334506229134 -4.2249588091267 -5.09684671479755 -4.438715080097 -5.08776437903268 -5.07414087538537 -5.05143503597319 -4.83638385571518 -4.28810932471708 -4.23952678605996 -4.23224279759333 -4.22787240451336 -13.0494280697148 288.092840506961 1.15306968915106 0.263465082463194 1.4279531660785 0.665424015369997 1.27668761222954 0.676381072648509 0.692816658566277 0.720209301762557 0.97275491229336 1.34663325567645 1.4204388003183 1.4241959831984 1.42645029292646 -10.2373457992545 230.742611480431
EvaVertes_2005.EV.words19 22.46 23.1 EvaVertes_2005 EV EV -6.74589634816578 1.94628068458402 -3.29465173184863 -9.99703014421377 -6.73477056497732 -9.95262214206955 -9.85281366188401 -9.48197858386252 -8.52690421036168 -4.74360299161206 -3.80193251829912 -3.59416819120286 -3.39356262840446 -10.048930867818 222.135252384501 -0.0462648611780981 1.47562162608986 2.84256330104696 -2.65686880673232 -0.110147737393307 -2.62433404084117 -2.53452407539504 -2.13244363881287 -1.39084746967908 1.23951299219121 2.27904086918727 2.53679776998061 2.76114980528511 -7.23684859735756 164.785023357969
EvaVertes_2005.EV.words21 25.24 25.35 EvaVertes_2005 EV EV 1.18821797572024 0.668979626531233 1.69281721854214 -0.265513516629255 1.51782662934381 -0.21075168536727 -0.128608938474293 0.00829563968066793 0.991834066568595 1.6497921700878 1.6825625464091 1.68768988247562 1.69076628411553 31.9429668409791 -807.66177911402 1.18821797572024 0.668979626531233 1.69281721854214 -0.265513516629255 1.51782662934381 -0.21075168536727 -0.128608938474293 0.00829563968066793 0.991834066568595 1.6497921700878 1.6825625464091 1.68768988247562 1.69076628411553 31.9429668409791 -807.66177911402
EvaVertes_2005.EV.words22 25.35 25.52 EvaVertes_2005 EV EV 3.08757247152657 1.58692797655876 5.56983354902681 1.22521134609512 2.86440891643622 1.22882576936581 1.23424740427185 1.24281939172484 1.4069272964962 4.39897664886889 5.5004914720512 5.53588424469691 5.55625382729485 30.8620423773201 -781.94558232442 3.08757247152657 1.58692797655876 5.56983354902681 1.22521134609512 2.86440891643622 1.22882576936581 1.23424740427185 1.24281939172484 1.4069272964962 4.39897664886889 5.5004914720512 5.53588424469691 5.55625382729485 30.8620423773201 -781.94558232442
EvaVertes_2005.EV.words23 25.52 25.58 EvaVertes_2005 EV EV 6.17135920898201 0.489583247482672 6.68968908388186 5.33447706044183 6.39921223254345 5.34958332485158 5.37224272146622 5.41000838249062 5.80559514378826 6.52437856849534 6.65566952204739 6.67267930296463 6.68288517151497 23.1471383015498 -585.284500933151 6.17135920898201 0.489583247482672 6.68968908388186 5.33447706044183 6.39921223254345 5.34958332485158 5.37224272146622 5.41000838249062 5.80559514378826 6.52437856849534 6.65566952204739 6.67267930296463 6.68288517151497 23.1471383015498 -585.284500933151
EvaVertes_2005.EV.words24 25.58 25.85 EvaVertes_2005 EV EV 4.06167346175271 1.42461645759364 6.32023138278339 2.26670857656226 3.49633266011295 2.27233414783304 2.28013288136924 2.28716048106419 2.84809806755002 5.4785572089615 6.15511200348751 6.23786697400285 6.28729861909797 -17.8265358689545 462.460515850104 4.06167346175271 1.42461645759364 6.32023138278339 2.26670857656226 3.49633266011295 2.27233414783304 2.28013288136924 2.28716048106419 2.84809806755002 5.4785572089615 6.15511200348751 6.23786697400285 6.28729861909797 -17.8265358689545 462.460515850104
EvaVertes_2005.EV.words25 25.85 25.95 EvaVertes_2005 EV EV 2.36870026643651 0.0321037788031569 2.41951357003519 2.31779357794586 2.36872828184064 2.31881358422143 2.32034359363479 2.32289360932372 2.34327966178515 2.39413954809196 2.41444155419368 2.41697756211444 2.41849916686689 1.0765355667263 -25.5108583812128 2.36870026643651 0.0321037788031569 2.41951357003519 2.31779357794586 2.36872828184064 2.31881358422143 2.32034359363479 2.32289360932372 2.34327966178515 2.39413954809196 2.41444155419368 2.41697756211444 2.41849916686689 1.0765355667263 -25.5108583812128
EvaVertes_2005.EV.words26 25.95 26.01 EvaVertes_2005 EV EV 1.88610027322347 0.361106793355032 2.43851971051296 1.28875714991255 1.88639604260519 1.30667565303659 1.33355340772266 1.37834966553278 1.6691084936735 2.05796134256552 2.43218548969829 2.43535260010562 2.43725286635002 -16.6913770602595 435.530704862081 1.88610027322347 0.361106793355032 2.43851971051296 1.28875714991255 1.88639604260519 1.30667565303659 1.33355340772266 1.37834966553278 1.6691084936735 2.05796134256552 2.43218548969829 2.43535260010562 2.43725286635002 -16.6913770602595 435.530704862081
EvaVertes_2005.EV.words27 26.01 26.23 EvaVertes_2005 EV EV -0.736618639985431 0.678821798190763 1.090709677495 -1.80669790857355 -0.93610971431426 -1.80572234776508 -1.80425900655237 -1.66116578393812 -1.20572867545709 -0.235489005359825 0.370119286550807 0.827751294682969 0.985526324370187 -8.6474612646657 225.151411252166 -0.736618639985431 0.678821798190763 1.090709677495 -1.80669790857355 -0.93610971431426 -1.80572234776508 -1.80425900655237 -1.66116578393812 -1.20572867545709 -0.235489005359825 0.370119286550807 0.827751294682969 0.985526324370187 -8.6474612646657 225.151411252166
