word	punctuation	word.duration	speech.rate.norm	pause	mean.f0	range.f0	mean.i0	range.i0
over		0.24	0.869	16.41	2.6984	8.1697	3.8331	18.6517
the		0.08	0.3867	0.0	5.8604	6.5393	4.2096	8.888
past		0.38	1.3759	0.0	0.5747	2.2705	-2.7872	27.982
couple		0.22	0.5315	0.0	-0.4911	1.1302	-3.8707	25.7275
of		0.07	0.5069	0.0	-2.7961	2.7248	2.1029	14.1169
days		0.27	0.9776	0.0	-3.1877	1.6301	3.3652	23.6165
as		0.12	0.869	0.0	-3.6509	0.886	-1.9849	16.7763
i've		0.06	0.2897	0.0	-3.5617	1.3218	4.3492	8.7058
been		0.13	0.4707	0.0	-4.4822	2.2478	4.1184	8.5955
preparing		0.37	0.5952	0.0	-3.6314	4.9791	2.0781	22.0605
for		0.11	0.5315	0.0	-3.6086	0.4641	-5.4541	16.5968
my		0.13	0.9414	0.0	-5.1555	2.4944	4.5077	7.9884
speech		0.51	1.231	0.0	-4.0264	5.0514	-2.5549	24.7834
i've	,	0.81	3.9103	0.49	-1.6457	3.4321	-8.4803	33.4651
become		0.44	1.0616	0.0	-0.7486	3.8328	-0.0554	26.3916
more		0.24	0.869	0.0	-0.4882	2.9799	8.7226	3.3521
and		0.09	0.4345	0.0	0.4142	1.0893	7.5039	4.3276
more		0.19	0.6879	0.0	-2.0512	3.6977	6.6045	8.1437
nervous		0.43	0.8892	0.0	3.2559	13.2792	3.5866	24.2529
about		0.24	0.6952	0.0	8.7699	5.2281	1.8933	16.644
what		0.14	0.5069	0.0	8.2346	1.5122	3.9622	16.6166
i'm		0.09	0.6517	0.0	8.468	0.5963	5.6994	4.5389
going		0.14	0.4055	0.0	7.8705	3.1917	4.5437	9.5325
to		0.06	0.4345	0.0	8.4256	0.7758	3.3877	5.1505
say		0.23	1.1108	0.0	4.7196	6.47	-0.1306	20.2666
and		0.1	0.4823	0.0	-2.2458	4.6334	5.1474	3.8103
about		0.43	1.2455	0.0	-4.039	2.4824	0.3577	25.8777
being		0.32	0.9269	0.0	-0.9739	4.1855	2.724	20.6157
on		0.12	0.869	0.0	-1.1324	1.9303	2.04	18.1757
the		0.08	0.3867	0.0	-2.1525	1.1749	3.8111	12.6586
same		0.69	2.4983	0.0	-6.0106	11.4439	-1.7777	26.6967
stage		0.38	1.1007	0.0	-11.055	7.7464	-0.5242	24.1419
as		0.13	0.9414	0.0	-4.0076	1.2806	-3.4173	19.7202
all		0.22	1.0616	0.0	-2.506	2.1933	3.195	26.1316
these		0.15	0.4345	0.0	-2.5196	0.9827	0.4018	13.3897
fascinating		0.48	0.6314	0.0	-3.6195	4.647	0.5613	24.9587
people		0.28	0.6763	0.0	-7.9079	7.9696	-4.1538	25.5262
being	.	0.17	0.4924	0.0	14.3178	1.4918	2.3144	25.8239
on		0.09	0.6517	0.0	0.0	0.0	9.837	3.4267
the		0.06	0.2897	0.0	14.6494	0.595	6.6905	8.0096
same		0.2	0.7241	0.0	13.1931	2.0607	1.3676	20.1115
stage		0.29	0.84	0.0	12.2177	3.8854	-3.4959	25.1702
as		0.1	0.7241	0.0	9.784	3.2972	5.182	7.0739
al		0.14	1.0138	0.0	8.9492	2.052	6.5489	9.9467
gore		0.39	1.4121	0.0	9.0851	9.7506	3.3632	21.7293
who	,	0.36	1.7379	0.36	1.22	12.0586	-2.8111	29.6098
was		0.16	0.7719	0.0	1.5829	3.1723	-3.2048	29.8777
the		0.06	0.2897	0.0	1.6707	2.585	-2.6767	14.4694
first		0.24	0.6952	0.0	3.328	3.5883	-3.4217	30.0065
person		0.24	0.5793	0.0	2.6162	3.003	0.4791	25.3984
i		0.1	1.4483	0.0	-0.0663	2.1983	-1.022	24.1313
ever		0.21	0.7603	0.0	-0.4262	1.2956	1.535	26.738
voted		0.31	0.8979	0.0	2.463	10.8041	3.6388	22.7748
for		0.29	1.4005	0.0	-1.1059	5.5673	-3.683	25.3831
and	.	0.0	1.0	0.0	0.0	0.0	0.0	0.0
so		0.0	1.0	0.0	3.7534	5.478	8.2662	11.4316
i		0.45	6.5172	1.49	0.0	0.0	0.0	0.0
was		0.0	1.0	0.0	0.0	0.0	0.0	0.0
getting		0.0	1.0	0.0	7.9599	5.9925	4.6613	12.4149
pretty		0.22	0.5315	0.0	6.1704	2.7567	1.0813	21.4067
nervous		0.49	1.0138	0.0	1.2263	7.8963	3.7873	25.2708
and		0.19	0.9168	0.0	-0.7175	1.4065	4.7184	12.449
you	,	0.06	0.2897	0.0	0.1865	0.8077	6.6117	2.1053
know		0.09	0.3259	0.0	-1.2577	3.6039	7.5479	1.0701
i	,	0.07	1.0138	0.0	-1.96	2.8104	8.205	2.6917
didn't		0.19	0.5503	0.0	0.7133	5.0718	7.1291	11.2497
know		0.13	0.4707	0.0	0.9191	1.9333	8.9869	4.3358
that		0.14	0.5069	0.0	1.1934	5.8896	1.3326	22.2356
chris		0.23	0.6662	0.0	1.2903	6.7439	-1.3994	20.6159
sits		0.2	0.7241	0.0	-1.1113	3.0689	-7.0013	22.1417
on		0.08	0.5793	0.0	-1.2651	2.1488	5.0774	5.6263
the		0.08	0.3867	0.0	-3.5819	1.863	3.9086	11.2883
stage		0.62	1.7959	0.0	-2.1275	4.9809	0.1429	27.1854
and	,	0.28	1.3512	0.5	-2.2841	1.2511	-3.1584	19.2237
that's		0.44	1.2745	0.0	-0.4905	3.169	-5.2359	27.0851
more		0.31	1.1224	0.0	0.4116	2.2044	7.7901	10.8522
nerve		0.18	0.5214	0.0	-1.4821	4.5091	4.9878	15.2694
wracking		0.63	1.1412	0.0	-2.6548	5.6699	-2.155	28.9816
but	.	0.09	0.4345	0.0	1.6735	5.136	4.2909	6.963
then		0.2	0.7241	0.0	10.0348	12.5344	6.9308	10.3621
i		0.04	0.5793	0.0	12.391	1.3941	6.5034	5.3153
started		0.4	0.827	0.0	7.723	5.4853	-1.3499	24.0006
thinking		0.32	0.5793	0.0	1.8953	6.7399	-2.0438	20.694
about		0.2	0.5793	0.0	-1.3807	2.7537	2.6168	21.5468
my		0.09	0.6517	0.0	-2.4396	0.3794	0.6531	13.4711
family		0.43	1.0384	0.0	-4.1062	4.2604	-0.4141	21.1782
i	.	0.08	1.1586	0.0	-2.0972	0.1442	1.404	7.1814
started		0.33	0.6821	0.0	-1.8483	3.0475	-2.3495	23.1192
thinking		0.29	0.5243	0.0	-2.5138	1.7073	-2.4556	18.2196
about		0.33	0.9559	0.0	-3.9901	3.9604	0.2693	22.6833
my		0.14	1.0138	0.0	-4.131	1.0038	1.4204	16.7517
father		0.53	1.2788	0.0	-4.7656	1.3529	-2.0499	25.9721
and		0.1	0.4823	0.43	-0.9196	1.3647	6.7058	3.5192
my		0.14	1.0138	0.0	-1.1974	1.7988	6.9989	4.7535
grandfather		0.7	0.9211	0.0	-3.8766	7.0848	1.7882	17.2246
and		0.12	0.5793	0.0	-0.6959	2.3579	3.8596	6.6124
my		0.15	1.0862	0.0	-0.6061	0.7881	7.5948	3.4919
great		0.5	1.4483	0.0	2.0012	6.7504	-6.6539	34.0387
grandfather		0.8	1.0529	0.0	-4.3444	7.4702	-0.5809	32.4023
and	,	0.15	0.7241	0.47	4.5099	3.4342	6.5415	31.0379
i		0.08	1.1586	0.0	5.4288	0.6232	9.1039	1.8353
realized		0.78	1.4121	0.0	3.5624	17.9408	4.1413	28.9613
that		0.49	1.7741	0.72	3.2806	6.3726	-3.9373	27.4452
i		0.16	2.3172	0.0	4.8859	3.7736	2.7667	28.1236
had		0.32	1.5453	0.0	6.2529	5.9918	1.782	26.4345
all		0.27	1.3034	0.0	4.222	10.0454	5.7241	25.8285
of		0.09	0.6517	0.0	9.458	3.3347	2.9547	11.1558
these		0.22	0.6372	0.0	7.0204	3.0796	0.7288	23.6882
teds		0.45	1.6293	0.0	1.4507	13.1653	0.9527	27.1391
going		0.35	1.0138	0.7	3.0025	2.6937	7.3834	14.9987
through		0.32	0.6619	0.0	3.1252	2.9254	-0.5565	21.8119
my		0.18	1.3034	0.0	1.5363	2.6907	9.5302	9.1809
blood		0.6	1.7379	0.0	0.4894	5.2175	2.4331	16.98
stream		0.0	1.0	0.0	0.0	0.0	0.0	0.0
that		0.0	1.0	0.0	0.0	0.0	0.0	0.0
i		0.0	1.0	0.0	0.0	0.0	1.0047	0.8879
had		0.13	0.6271	1.35	6.1094	6.7102	2.2393	13.8116
to		0.25	1.8103	0.0	4.0957	4.1836	4.1128	15.6298
consider		0.39	0.7068	0.34	3.9082	6.8246	3.1193	22.8637
this		0.22	0.7965	0.0	0.0382	4.0154	-2.4791	25.7543
my		0.36	2.6069	0.0	-3.0247	7.6043	5.0888	26.7289
element		0.22	0.4548	0.75	-12.2718	3.3959	4.3767	15.5696
so	.	0.16	1.1586	0.96	-5.797	2.1707	2.1113	18.8407
who	,	0.24	1.1586	0.0	-9.0128	7.3432	1.1086	20.2171
am		0.19	1.3759	0.0	-2.5475	4.2222	4.5862	12.1184
i		0.15	2.1724	0.0	-6.2103	1.099	1.008	13.7511
chris	?	0.27	0.7821	0.4	11.7879	3.4621	-4.2128	25.9157
kind		0.21	0.7603	0.0	7.7959	5.1364	-0.6614	29.1793
of		0.08	0.5793	0.0	1.4719	6.3657	4.1175	6.5437
mentioned		0.34	0.5474	0.0	-0.9546	3.9058	2.2958	17.0502
i		0.17	2.4621	0.0	-3.1829	1.4661	5.6731	10.8068
started		0.31	0.6416	0.46	-2.3885	1.6418	0.722	28.3148
a		0.06	0.869	0.0	-2.1422	0.2579	3.567	14.0452
company		0.28	0.5793	0.0	-2.5254	3.8461	-1.1333	18.6282
with		0.11	0.3983	0.0	-3.9579	2.1055	-0.3543	16.0485
my		0.13	0.9414	0.0	-2.983	2.5042	2.3958	19.6962
husband		0.58	1.2006	0.0	-4.8872	3.9233	0.1138	27.6355
we	.	0.0	1.0	0.0	0.0	0.0	0.0	0.0
have		0.0	1.0	0.0	0.0	0.0	0.0	0.0
about		0.0	1.0	0.0	0.0	0.0	0.0	0.0
one		0.0	1.0	0.0	-4.7961	1.3125	3.5106	4.4596
hundred		0.35	0.7241	0.0	-4.6983	3.1038	3.3218	13.445
and		0.23	1.1108	0.0	-3.1007	3.5417	2.7758	10.8361
twenty		0.18	0.4345	0.0	-3.0641	3.5477	0.733	14.9122
five		0.16	0.5793	0.0	-4.9645	4.287	-0.3422	20.6616
people		0.24	0.5793	0.0	-4.108	2.8572	-4.2127	23.3949
internationally		0.69	0.6662	0.0	-5.7126	4.0463	0.6665	18.306
if	.	0.14	1.0138	0.49	-1.9252	2.2023	0.0966	13.3648
you		0.08	0.3867	0.0	2.9857	4.3569	5.2619	11.2754
looked		0.15	0.3621	0.0	5.6671	3.07	0.2799	23.2002
in		0.07	0.5069	0.0	5.1095	4.7071	7.0084	7.9274
the		0.09	0.4345	0.0	-0.0273	5.2684	6.0783	10.3787
book		0.48	1.7379	0.0	-0.4597	9.1586	0.0175	25.3311
you	,	0.11	0.5315	0.53	2.2785	2.792	8.3988	10.017
saw		0.55	2.6547	0.0	0.9398	7.7496	2.9315	21.5215
this		0.32	1.1586	0.0	-5.1038	8.2713	1.3967	18.7518
which	,	0.33	0.9559	1.94	-5.7676	2.8844	-2.2192	22.5802
i		0.35	5.0689	0.59	4.9431	6.6455	4.4737	19.6531
really		0.57	1.3759	0.0	3.0176	8.4326	5.0018	20.0705
was		0.32	1.5453	0.0	-1.7551	4.3905	3.9755	18.5025
appalled		0.45	0.8154	0.0	-1.3885	5.9707	0.2672	21.5531
by		0.53	3.8379	0.0	-4.6545	3.7223	0.7386	20.1212
and	.	0.42	2.0276	0.0	0.0	0.0	0.0	0.0
because		0.58	1.2006	2.31	-2.2164	11.4293	4.1821	20.4506
i		0.15	2.1724	0.0	-6.3243	2.7684	6.8008	17.921
wanted		0.35	0.8443	0.0	-6.0482	5.4162	5.3185	20.0403
to		0.26	1.8827	0.0	-6.5538	3.2966	1.3204	17.4688
impress		0.54	1.1166	0.0	-4.6871	17.2887	-0.482	23.1232
you		0.16	0.7719	0.0	4.2713	2.7235	3.6273	16.7041
all		0.29	1.4005	0.0	-0.6214	3.4105	8.5328	9.0327
with		0.25	0.9052	0.0	-0.3919	2.0519	-4.5282	24.3649
slides		0.52	1.2556	0.0	2.9178	5.0661	2.3134	26.1516
since	,	0.2	0.5793	0.0	-0.2443	2.0049	-4.8579	19.9155
i		0.08	1.1586	0.0	-0.8281	1.4043	6.4731	6.1469
saw		0.23	1.1108	0.0	-0.4505	3.0542	-0.4673	20.5413
the		0.15	0.7241	0.0	-1.6171	1.4128	1.8864	13.0435
great		0.31	0.8979	0.0	-2.1572	4.1746	-0.7795	22.1715
presentations		0.54	0.601	0.0	-0.8862	6.7888	-0.5179	21.1315
yesterday		0.37	0.5952	0.0	-2.1789	5.6942	1.9464	20.3537
with		0.14	0.5069	0.0	-5.8472	3.4826	1.8952	12.4781
graphs		0.32	0.7719	0.0	-11.057	4.8779	-0.221	23.3395
i	,	0.06	0.869	0.0	-3.5903	0.678	2.3355	1.3368
made		0.14	0.5069	0.0	-3.5748	1.209	2.8995	11.6288
a		0.04	0.5793	0.0	-4.2165	0.7974	0.4631	8.245
graph		0.38	1.1007	0.0	-6.7265	5.9354	1.8867	26.1898
that		0.17	0.6155	0.81	-4.8161	1.8267	-2.4342	18.5105
moves		0.35	1.0138	0.0	-2.4952	9.058	2.2193	18.3559
and	,	0.0	1.0	0.0	0.0	0.0	0.0	0.0
i		0.0	1.0	0.0	1.985	2.3831	7.2223	18.6827
talk		0.36	1.3034	0.0	3.2354	4.4552	-0.2843	19.4645
about		0.5	1.4483	0.0	1.0663	10.0449	2.3167	17.2194
the		0.09	0.4345	0.0	1.9005	1.7753	4.378	12.2594
makeup		0.39	0.9414	0.0	3.5509	4.5588	4.0932	18.4234
of		0.17	1.231	0.0	1.262	2.5331	2.6546	14.8823
me		0.21	1.5207	0.0	1.3086	4.2771	8.5891	2.4495
so	.	0.0	1.0	0.0	0.0	0.0	0.0	0.0
besides	,	0.0	1.0	0.0	0.0	0.0	0.0	0.0
this		0.0	1.0	0.0	0.0	0.0	0.0	0.0
freakish		0.31	0.5605	0.0	0.0	0.0	0.0	0.0
thing		0.19	0.5503	0.0	0.0	0.0	0.0	0.0
this	,	0.14	0.5069	0.0	6.2322	8.9477	0.0416	19.3202
is		0.11	0.7965	0.0	9.7739	4.6521	5.6966	8.7677
my		0.15	1.0862	0.0	7.3999	3.7145	8.7057	6.0108
science		0.33	0.6821	0.0	2.7901	7.5541	-0.1653	22.9092
slide		0.3	0.869	0.0	7.0777	9.476	-2.4512	24.6968
this	.	0.22	0.7965	0.0	11.9746	5.4608	-2.6444	22.8399
is		0.06	0.4345	0.0	12.3033	3.1342	0.5481	3.3714
math		0.0	1.0	0.0	0.0	0.0	0.0	0.0
and	,	0.0	1.0	0.0	1.2532	1.0947	7.9034	4.6703
this		0.13	0.4707	0.0	1.3929	1.4567	-2.7401	23.6078
